Country (or dependent territory),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,1051.0,1119.0,1113.0,1240.0,1307.0,1465.0,1512.0,1788.0,1908.0,2011.0,2318,2386,2516,2535,2401,2516,2450,2543
Albania,4326.0,4835.0,5149.0,5561.0,6051.0,6619.0,7272.0,7975.0,8805.0,9221.0,9726.0,10208.0,10526,10571,11259,11662,12078,13040,13902,14467
Algeria,8588.0,8914.0,9420.0,10146.0,10705.0,11518.0,11894.0,12438.0,12701.0,12741.0,13097.0,13480.0,13264,13003,12940,11945,11543,11644,11822,11894
Andorra,,,,,,,,,,,50888.0,52326.0,51193,50930,52686,52748,55695,56352,57551,58709
Angola,3132.0,3240.0,3632.0,3703.0,4096.0,4718.0,5267.0,5987.0,6586.0,6490.0,6687.0,6857.0,7624,7948,8508,7669,7449,7676,7468,7341
Antigua and Barbuda,16915.0,16233.0,16478.0,17634.0,18947.0,20584.0,23660.0,26280.0,26494.0,23223.0,21429.0,21224.0,20393,19499,19674,19456,20389,20191,21775,22871
Argentina,11633.0,11257.0,10089.0,11105.0,12303.0,13681.0,15090.0,16728.0,17567.0,16472.0,18064.0,19322.0,19641,20132,19684,20105,20308,23597,23303,22995
Armenia,2606.0,2936.0,3435.0,4008.0,4562.0,5404.0,6328.0,7417.0,8111.0,7032.0,7282.0,7778.0,9094,9564,9792,9753,10502,11974,12946,14213
Aruba,30242.0,31917.0,31886.0,32505.0,35055.0,35095.0,35934.0,37763.0,38896.0,34340.0,33713.0,35248.0,33967,35715,35399,35643,35716,36971,38126,37748
Australia,28963.0,30005.0,31378.0,32520.0,34390.0,36064.0,37598.0,39578.0,40527.0,40811.0,41692.0,43090.0,42906,46506,47018,46407,48135,49748,51559,52675
Austria,30875.0,31849.0,32717.0,33527.0,35147.0,36811.0,39055.0,41469.0,42746.0,41301.0,42466.0,44469.0,46478,47937,48814,49955,52660,54391,56677,58680
Azerbaijan,3556.0,3833.0,4220.0,4698.0,5220.0,6809.0,9322.0,11855.0,13189.0,14285.0,15022.0,14905.0,16063,17300,17551,15026,14448,14185,14610,15113
Bahamas,27249.0,28172.0,28962.0,28752.0,29379.0,30915.0,32274.0,33225.0,32690.0,31167.0,31673.0,32170.0,33252,32625,34213,34869,35239,36822,38316,38842
Bahrain,43920.0,44376.0,43350.0,43672.0,44525.0,45440.0,46153.0,47437.0,48244.0,46749.0,47117.0,50673.0,54489,54035,51938,45627,44834,47486,49392,52234
Bangladesh,1400.0,1472.0,1539.0,1632.0,1750.0,1890.0,2054.0,2220.0,2360.0,2473.0,2624.0,2820.0,3138,3333,3584,3810,4119,4450,4870,5330
Barbados,12798.0,12737.0,13000.0,13505.0,14020.0,14982.0,16259.0,16998.0,17371.0,16526.0,16278.0,16444.0,15425,15433,15252,15571,15997,15818,16060,16096
Belarus,5797.0,6228.0,6682.0,7345.0,8463.0,9618.0,10983.0,12319.0,13894.0,14048.0,15355.0,16545.0,18097,18997,19017,18111,17787,18335,19407,20080
Belgium,29110.0,30022.0,30871.0,31665.0,33545.0,35233.0,37015.0,39140.0,39760.0,38892.0,40162.0,41082.0,42409,43755,45043,46365,48680,50727,52649,54277
Belize,5498.0,5758.0,5994.0,6515.0,6786.0,6953.0,7321.0,7362.0,7562.0,7427.0,7565.0,7642.0,7213,7144,7079,7091,7054,6969,7156,7222
Benin,1758.0,1837.0,1894.0,1938.0,2016.0,2054.0,2138.0,2261.0,2350.0,2353.0,2364.0,2416.0,2498,2670,2833,2887,3005,3045,3235,3422
Bhutan,2678.0,2846.0,3075.0,3368.0,3630.0,3923.0,4256.0,4873.0,5444.0,5726.0,6268.0,6943.0,7600,7894,8382,9239,10068,10852,11476,12131
Bolivia,3429.0,3499.0,3575.0,3677.0,3864.0,4089.0,4343.0,4585.0,4879.0,4993.0,5177.0,5473.0,5937,6645,7081,7160,7528,8456,8896,9127
Bosnia and Herzegovina,5241.0,5480.0,5840.0,6184.0,6742.0,7242.0,7886.0,8597.0,9272.0,9300.0,9566.0,9971.0,10292,11004,11411,12014,13069,13837,14830,15626
Botswana,8452.0,8502.0,8998.0,9435.0,9775.0,10345.0,11324.0,12327.0,13068.0,11910.0,12864.0,13730.0,13092,14168,15703,14640,16639,15948,16631,17078
Brazil,9104.0,9307.0,9616.0,9797.0,10514.0,11062.0,11724.0,12638.0,13397.0,13328.0,14361.0,15110.0,15120,15669,15800,14816,14326,14597,15089,15453
Brunei,72497.0,74324.0,75818.0,78330.0,78569.0,81619.0,86145.0,83877.0,81056.0,78951.0,80669.0,84001.0,88312,84019,81806,62922,56638,60281,59952,61027
Bulgaria,7089.0,7772.0,8411.0,9070.0,9965.0,11073.0,12254.0,13479.0,14638.0,14315.0,14683.0,15712.0,16295,16633,17614,18410,20091,21534,22892,24331
Burkina Faso,921.0,976.0,1005.0,1073.0,1118.0,1216.0,1293.0,1341.0,1403.0,1411.0,1502.0,1587.0,1619,1683,1692,1714,1895,2044,2171,2270
Burundi,485.0,489.0,494.0,504.0,521.0,558.0,589.0,608.0,629.0,636.0,656.0,675.0,685,735,772,838,794,771,778,783
Cape Verde,3080.0,3278.0,3439.0,3705.0,3927.0,4223.0,4689.0,5199.0,5590.0,5496.0,5583.0,5859.0,5720,5700,5659,5902,6224,6535,7028,7470
Cambodia,1064.0,1158.0,1230.0,1337.0,1490.0,1713.0,1928.0,2152.0,2307.0,2298.0,2438.0,2636.0,2912,3110,3272,3501,3817,4101,4467,4834
Cameroon,1939.0,2016.0,2078.0,2157.0,2303.0,2358.0,2447.0,2565.0,2632.0,2634.0,2682.0,2774.0,2855,3003,3185,3261,3405,3555,3690,3796
Canada,29915.0,30811.0,31888.0,32794.0,34390.0,36261.0,37981.0,39428.0,40159.0,38788.0,40018.0,41716.0,42351,44360,45812,44703,46554,48688,50361,51477
Central African Republic,741.0,763.0,778.0,763.0,770.0,803.0,852.0,894.0,917.0,931.0,967.0,1013.0,1102,738,720,787,851,913,956,985
Chad,829.0,912.0,966.0,1088.0,1437.0,1548.0,1551.0,1590.0,1615.0,1638.0,1821.0,1800.0,1736,1574,1684,1820,1682,1600,1626,1654
Chile,11314.0,11814.0,12235.0,12851.0,14001.0,15117.0,16401.0,17489.0,18262.0,17890.0,18954.0,20306.0,21447,22387,22745,22681,22752,23720,24744,24968
China,2886.0,3174.0,3495.0,3897.0,4381.0,5003.0,5783.0,6750.0,7501.0,8222.0,9160.0,10181.0,11137,11905,12496,12926,13432,14152,15410,16564
Colombia,6772.0,6952.0,7147.0,7479.0,7990.0,8524.0,9266.0,10042.0,10454.0,10525.0,11009.0,11893.0,12306,13025,13627,13611,14352,14764,15235,15647
Comoros,1725.0,1821.0,1895.0,1929.0,1994.0,2121.0,2094.0,2113.0,2183.0,2210.0,2261.0,2341.0,2510,2628,2701,2684,2826,2980,3078,3105
Democratic Republic of the Congo,447.0,435.0,441.0,461.0,490.0,519.0,546.0,576.0,604.0,605.0,634.0,669.0,670,753,850,905,964,1060,1112,1144
Republic of the Congo,4690.0,4453.0,4455.0,4453.0,4452.0,4892.0,5313.0,4972.0,5255.0,5760.0,6252.0,6364.0,7437,7123,6959,5445,4484,4987,4740,4687
Costa Rica,8142.0,8304.0,8572.0,8976.0,9473.0,10006.0,10906.0,11949.0,12570.0,12357.0,12932.0,13606.0,14368,15035,16077,17080,18503,19712,20480,21094
Ivory Coast,3279.0,3272.0,3185.0,3123.0,3164.0,3235.0,3300.0,3361.0,3424.0,3467.0,3489.0,3303.0,3563,3834,4237,4558,4629,4730,5045,5317
Croatia,12612.0,13512.0,14502.0,15618.0,16203.0,17419.0,18862.0,20372.0,21165.0,19763.0,19786.0,20803.0,21167,21819,22063,23009,24876,26776,28440,29945
Cyprus,23392.0,24613.0,25633.0,26517.0,28235.0,30110.0,32024.0,33932.0,34994.0,33616.0,33764.0,33755.0,31906,30237,29888,31848,35852,38277,40795,42233
Czech Republic,16895.0,17881.0,18501.0,19558.0,21045.0,23129.0,25395.0,27452.0,28482.0,27114.0,28010.0,29027.0,29270,30813,32542,33933,36137,39031,41120,42963
Denmark,33713.0,34631.0,35209.0,35942.0,37792.0,39789.0,42495.0,43881.0,44261.0,42085.0,43204.0,44483.0,44893,46829,48040,49265,52160,55673,57812,59833
Djibouti,2407.0,2453.0,2524.0,2611.0,2713.0,2842.0,3027.0,3221.0,3427.0,3456.0,3589.0,3869.0,3958,4104,4292,4603,4720,4913,5373,5791
Dominica,6364.0,6503.0,6422.0,6969.0,7380.0,7667.0,8278.0,9048.0,9885.0,9839.0,10038.0,10224.0,10158,10344,11015,11140,11962,12071,12791,13468
Dominican Republic,6812.0,7040.0,7372.0,7316.0,7608.0,8480.0,9435.0,10293.0,10704.0,10758.0,11672.0,12158.0,12208,12818,13859,15186,16626,17301,18773,19896
Ecuador,5902.0,6139.0,6351.0,6540.0,7143.0,7661.0,8101.0,8352.0,8892.0,8838.0,9091.0,9843.0,10280,11106,11658,11015,11009,11624,11880,11923
Egypt,6495.0,6739.0,6924.0,7136.0,7484.0,7904.0,8525.0,9198.0,9831.0,10128.0,10531.0,10694.0,11620,11726,11351,11958,11616,11158,11796,12444
El Salvador,4462.0,4572.0,4689.0,4830.0,4979.0,5250.0,5622.0,5856.0,6069.0,5955.0,6128.0,6466.0,6541,6877,7233,7598,8039,8454,8820,9167
Equatorial Guinea,9957.0,15645.0,18246.0,20431.0,26216.0,28002.0,29389.0,33238.0,38109.0,37129.0,32711.0,34024.0,37303,34531,33483,23903,20353,22450,20795,19225
Eritrea,1262.0,1354.0,1356.0,1284.0,1279.0,1302.0,1288.0,1306.0,1049.0,1163.0,1284.0,1625.0,1669,1507,1992,1589,1701,1537,1759,1835
Estonia,12389.0,13514.0,14748.0,16283.0,17965.0,20410.0,23231.0,25784.0,24997.0,21519.0,22360.0,24557.0,25996,27465,28928,29184,31310,33903,36022,38029
Eswatini,4959.0,5077.0,5333.0,5598.0,5903.0,6396.0,6928.0,7366.0,7513.0,7624.0,7951.0,8239.0,8450,8901,8996,9022,8932,8651,8979,9253
Ethiopia,507.0,541.0,543.0,511.0,571.0,646.0,724.0,810.0,904.0,985.0,1085.0,1214.0,1315,1408,1681,1862,2134,2321,2520,2752
Fiji,6565.0,6792.0,7069.0,7216.0,7756.0,7841.0,8181.0,8270.0,8472.0,8366.0,8679.0,9056.0,9660,10379,11358,12401,12563,13317,14076,14186
Finland,27735.0,29045.0,29921.0,31055.0,33076.0,34949.0,37343.0,40221.0,41130.0,37867.0,39357.0,41016.0,40969,41587,41836,42570,44995,47622,49228,50738
France,28576.0,29601.0,30185.0,30826.0,32255.0,33584.0,35278.0,36872.0,37416.0,36413.0,37349.0,38790.0,39037,40952,41576,42289,44422,46370,48199,49851
Gabon,14099.0,14367.0,14262.0,14430.0,14618.0,14593.0,14396.0,15264.0,15247.0,14446.0,14967.0,15763.0,15487,15235,15500,14834,14490,15303,15586,16267
Gambia,1912.0,2004.0,1907.0,2013.0,2143.0,2093.0,2081.0,2137.0,2247.0,2341.0,2435.0,2216.0,2200,2121,2027,2067,2069,2073,2210,2319
Georgia,3074.0,3359.0,3640.0,4148.0,4539.0,5157.0,5860.0,6803.0,7147.0,6964.0,7542.0,8322.0,9799,10610,11583,12100,12855,13596,14582,15608
Germany,29444.0,30592.0,30983.0,31384.0,32645.0,33963.0,36419.0,38605.0,39835.0,37939.0,40101.0,42541.0,43359,44994,47011,47622,50575,53374,55077,56523
Ghana,2464.0,2550.0,2644.0,2766.0,2923.0,3127.0,3331.0,3479.0,3779.0,3931.0,4071.0,4623.0,5152,5321,5595,5233,5021,5148,5481,5822
Greece,19674.0,20832.0,21881.0,23546.0,25345.0,26225.0,28472.0,30113.0,30519.0,29304.0,27954.0,25629.0,24819,25857,26558,26637,27449,28558,29771,30914
Grenada,7633.0,7617.0,7971.0,8866.0,9015.0,10501.0,10365.0,11270.0,11565.0,10836.0,10865.0,11117.0,11164,11887,13042,14152,15026,16218,17240,17580
Guatemala,4753.0,4862.0,5028.0,5139.0,5307.0,5513.0,5865.0,6246.0,6455.0,6396.0,6511.0,6794.0,7018,7183,7458,7849,7847,7912,8204,8500
Guinea,1152.0,1201.0,1261.0,1280.0,1320.0,1373.0,1418.0,1512.0,1564.0,1509.0,1550.0,1628.0,1615,1680,1671,1685,1928,2250,2390,2507
Guinea-Bissau,1049.0,1100.0,1134.0,1129.0,1148.0,1235.0,1279.0,1318.0,1374.0,1385.0,1469.0,1586.0,1513,1530,1576,1874,1976,2253,2333,2429
Guyana,5434.0,5673.0,5828.0,5909.0,6166.0,6233.0,6741.0,7389.0,7659.0,7933.0,8357.0,8958.0,10444,10998,10943,11205,11268,11965,12723,13603
Haiti,2157.0,2162.0,2184.0,2268.0,2262.0,2367.0,2443.0,2584.0,2659.0,2788.0,2619.0,2765.0,2719,2902,2911,2841,3018,3080,3159,3116
Honduras,2588.0,2647.0,2718.0,2826.0,3008.0,3212.0,3447.0,3676.0,3820.0,3673.0,3779.0,3928.0,4033,4142,4453,4823,5146,5558,5807,5963
Hong Kong,28026.0,28737.0,29688.0,31022.0,34456.0,37938.0,41456.0,45106.0,46777.0,45706.0,48996.0,51999.0,52082,53454,54605,56267,56907,59676,62226,61990
Hungary,14192.0,15135.0,16140.0,17186.0,18544.0,19975.0,21466.0,22124.0,22834.0,21471.0,22010.0,22967.0,23179,24459,25615,26749,27863,29802,32227,34343
Iceland,28261.0,29600.0,29890.0,30929.0,33990.0,36822.0,39506.0,42891.0,43576.0,39999.0,39548.0,41009.0,42154,44673,46239,49471,53943,56945,59385,60437
India,1916.0,2021.0,2097.0,2271.0,2474.0,2745.0,3044.0,3382.0,3529.0,3798.0,4182.0,4494.0,4861,5057,5234,5465,5840,6183,6675,6991
Indonesia,4784.0,4999.0,5231.0,5510.0,5859.0,6297.0,6753.0,7271.0,7850.0,8156.0,8657.0,9213.0,9834,10188,10399,10359,10619,11074,11798,12482
Iran,10189.0,10328.0,11391.0,12496.0,13190.0,13826.0,14731.0,16163.0,16309.0,16368.0,17298.0,17885.0,15846,15183,15041,13420,13855,14402,13700,12858
Iraq,,,,6265.0,9604.0,9812.0,10423.0,10650.0,11473.0,11646.0,12217.0,13075.0,14843,15414,14027,10494,9593,10916,11401,11968
Ireland,32072.0,34000.0,35941.0,37142.0,39948.0,42525.0,44733.0,47029.0,45061.0,42742.0,43812.0,45036.0,46308,47761,50992,68872,71251,77780,85752,90390
Israel,20796.0,20789.0,20654.0,20920.0,22143.0,23372.0,25035.0,26807.0,27761.0,27596.0,28978.0,30647.0,31860,34339,34381,35482,37864,39206,40944,42429
Italy,29209.0,30430.0,30965.0,31513.0,32577.0,33621.0,35131.0,36478.0,36514.0,34562.0,35416.0,36251.0,36143,36289,36461,37176,40231,42112,43617,44615
Jamaica,6571.0,6745.0,6857.0,7223.0,7488.0,7764.0,8206.0,8520.0,8581.0,8313.0,8263.0,8531.0,8586,8895,9047,9347,9818,10287,10705,10990
Japan,27409.0,28068.0,28458.0,29411.0,30836.0,32373.0,33831.0,35258.0,35512.0,33742.0,35535.0,36215.0,37629,39437,39604,40959,40641,41409,42720,43585
Jordan,5916.0,6232.0,6652.0,6906.0,7475.0,8097.0,8750.0,9300.0,9673.0,9727.0,9566.0,9512.0,9301,9439,9295,9576,9544,10090,10316,10530
Kazakhstan,7734.0,8985.0,10009.0,11093.0,12381.0,13875.0,15651.0,17309.0,17754.0,17836.0,19088.0,20634.0,21878,24326,24546,23057,23654,24699,25985,27290
Kenya,1996.0,2067.0,2055.0,2096.0,2191.0,2324.0,2470.0,2635.0,2618.0,2650.0,2839.0,2977.0,3107,3406,3698,4072,4353,4650,4910,5126
Kiribati,1422.0,1408.0,1459.0,1491.0,1479.0,1572.0,1585.0,1626.0,1587.0,1576.0,1547.0,1583.0,1666,1743,1740,1915,2007,2036,2135,2220
South Korea,16787.0,17860.0,19427.0,20328.0,21872.0,23480.0,25345.0,27401.0,28550.0,28813.0,30988.0,32547.0,33557,34244,35325,37908,39567,41001,42996,44659
Kosovo,5149.0,5517.0,5532.0,5849.0,5890.0,6228.0,6558.0,7193.0,7373.0,7565.0,7786.0,8272.0,8438,8793,9082,9666,10028,10487,11165,12015
Kuwait,51747.0,50913.0,50827.0,57787.0,60785.0,63528.0,66171.0,67441.0,69575.0,64261.0,61770.0,66970.0,72736,70727,64038,43308,40844,46479,46811,45850
Kyrgyzstan,1885.0,2011.0,2023.0,2188.0,2376.0,2416.0,2542.0,2802.0,3048.0,3121.0,3103.0,3320.0,3654,4083,4326,4259,4728,5094,5296,5522
Laos,1864.0,1966.0,2100.0,2239.0,2428.0,2636.0,2913.0,3172.0,3428.0,3642.0,3918.0,4252.0,4842,5289,5874,6168,6844,7255,7774,8157
Latvia,8863.0,9752.0,10754.0,12003.0,13507.0,15608.0,18195.0,20738.0,20591.0,18006.0,17767.0,19737.0,21298,22687,23712,24860,26580,28548,30654,32073
Lebanon,9181.0,9392.0,9412.0,9302.0,9861.0,9960.0,10293.0,11537.0,12831.0,14092.0,14963.0,14669.0,14820,14977,15029,15106,15535,16043,16059,15164
